,nr,file,pid,mom,eta_bin,eta,phi,aero_thetac_hist_entries,aero_thetac_fit_mean,aero_thetac_fit_sigma,aero_thetac_res_hist_entries,aero_thetac_res_fit_mean,aero_thetac_res_fit_sigma,gas_thetac_hist_entries,gas_thetac_fit_mean,gas_thetac_fit_sigma,gas_thetac_res_hist_entries,gas_thetac_res_fit_mean,gas_thetac_res_fit_sigma,SPEaero_thetac_hist_entries,SPEaero_thetac_hist_mean,SPEaero_thetac_fit_mean,SPEaero_thetac_fit_sigma,SPEaero_thetac_res_hist_entries,SPEaero_thetac_res_hist_mean,SPEaero_thetac_res_fit_mean,SPEaero_thetac_res_fit_sigma,SPEgas_thetac_hist_entries,SPEgas_thetac_hist_mean,SPEgas_thetac_fit_mean,SPEgas_thetac_fit_sigma,SPEgas_thetac_res_hist_entries,SPEgas_thetac_res_hist_mean,SPEgas_thetac_res_fit_mean,SPEgas_thetac_res_fit_sigma
228,228,ana_211_5_5_0.root,211,5,5,2,0,171,222.66625892861796,0.8870386504087809,171,-1.223962585,0.8572909936979993,162,27.35721962530134,1.1699348329079586,169,-1.223971115,0.8572706358886091,2071,222.90772573635925,222.51091387555533,2.9406848557222593,2071,-0.99942057,-1.394286216,2.939923476531972,1261,27.41308485329104,27.403665666277043,3.4247984703715644,2051,-1.083536486,-1.444298858,2.8273327413987532
314,314,ana_211_5_5_1.root,211,5,5,2,1,180,222.4279002664905,0.7196494099409182,180,-1.464695647,0.7434974445458146,166,27.201332820666085,1.0044972023584327,179,-1.464687514,0.7435096428829302,1991,222.7827724761427,222.33034007599636,2.946511194745875,1991,-1.123020258,-1.576490538,2.946323895295642,1294,27.21870170015456,27.24250767749741,3.2474558959782116,1972,-1.207843137,-1.639073976,2.8301448494759973
488,488,ana_211_5_5_2.root,211,5,5,2,2,183,222.45284958610284,0.6016132387395615,183,-1.452454817,0.6218281401599096,172,27.277866979429742,1.038321920610555,182,-1.452455599,0.6218270071703301,2331,222.7928356928357,222.3956927250127,2.7887615048254304,2331,-1.111940512,-1.509269804,2.803671002810259,1276,27.187304075235108,27.34354803844979,3.299128779490106,2321,-1.149016229,-1.545727231,2.7748704978841165
410,410,ana_211_5_5_3.root,211,5,5,2,3,184,222.5786437654832,0.6121184930219582,184,-1.331944094,0.602214357,173,27.301596872523476,1.2478147585314476,183,-1.331944744,0.6022197332048569,2198,222.78252957233852,222.3897896336661,2.752146258031298,2198,-1.118835305,-1.507416457,2.769197813,1353,27.29778270509978,27.36869137080901,3.1609599596810534,2184,-1.175030525,-1.539353929,2.7585150018348745
422,422,ana_211_5_5_4.root,211,5,5,2,4,178,222.52944788465285,0.715698954,178,-1.366374111,0.7264387296403375,173,27.30108723201756,1.1987758212797657,178,-1.366374111,0.7264387302726584,2091,222.84423720707798,222.42955642664376,2.9490442208486503,2091,-1.062872629,-1.477659079,2.9447382836970983,1272,27.366823899371074,27.494036310345933,3.4625171671069843,2078,-1.101572024,-1.53006882,2.876851565900725
306,306,ana_211_5_5_5.root,211,5,5,2,5,177,222.4415218625408,0.7560676801611359,177,-1.475770762,0.7497452061762829,168,27.244707663144315,1.0539820815490502,177,-1.475770761,0.7497452057379705,2060,222.74708737864077,222.38810187575726,2.7772753747023384,2060,-1.157346278,-1.516847996,2.778739105424191,1191,27.37506297229219,27.230347250300085,2.813288587085216,2051,-1.195611897,-1.551391321,2.7239206049226463
311,311,ana_211_5_5_6.root,211,5,5,2,6,181,222.53386126054107,0.7926723327632215,181,-1.358461158,0.7806076742010357,171,27.047258331628733,1.1452115897298902,178,-1.358461037,0.7806087046586648,2150,222.7925581395349,222.47276463906218,2.8126178263883372,2150,-1.111193798,-1.428174217,2.8119578126671665,1218,27.08735632183908,27.03797395370662,3.2103414003224113,2140,-1.152336449,-1.459402368,2.753106098765514
336,336,ana_211_5_5_7.root,211,5,5,2,7,172,222.4305664846209,0.8941691783379606,172,-1.458973931,0.9035929460278759,166,27.419170649900817,1.3343515581227339,172,-1.458973931,0.9035929463124179,2083,222.72112337974076,222.42212870035294,2.747434588431671,2083,-1.180316851,-1.477485171,2.747759402015646,1301,27.415603382013835,27.598688344081456,3.124730347789062,2073,-1.223315646,-1.507252743,2.6834315598077225
118,118,ana_211_5_10_0.root,211,5,10,2.5,0,189,222.37664058625361,0.6322960070423768,189,-1.531053859,0.6486389559611155,181,27.253129403360163,0.7976688602372767,189,-1.53105386,0.6486389558788098,2107,222.50730897009967,222.31629995968666,2.102905135719279,2107,-1.399683594,-1.591922108,2.0959211415958134,1198,27.257929883138566,27.290206745586115,1.6530405157782737,2105,-1.408234363,-1.593068161,2.0992838763041752
482,482,ana_211_5_10_1.root,211,5,10,2.5,1,195,222.3734152843185,0.5592394827754592,195,-1.520470504,0.5561835083298232,188,27.249977062023113,0.6702077854777905,195,-1.520470504,0.5561835083298232,2250,222.39786666666666,222.22412241298113,1.8868008547959103,2250,-1.504651852,-1.687271401,1.8302385337309452,1463,27.275529733424474,27.200272053131954,1.0299595249333895,2248,-1.506109134,-1.687358631,1.8304642648723604
